manufacturer_name,model_name,variant_name,dimension,match_temp,reference_col,cop_tol,ref_cop,delta
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 11KW (230L),ERLA11DV3 / EBVH16SU23D6V,4_1_0_0,2,cop_p2,3.64,3.8,-0.1599999999999997
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 11KW (230L),ERLA11DW1 / EBVH16SU23D6V,4_1_0_0,2,cop_p2,3.64,3.8,-0.1599999999999997
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DV3 / EBVX16S23D(6V/9W),4_1_0_0,2,cop_p2,3.56,3.51,0.050000000000000266
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DV3 / EBVZ16S23D(6V/9W),5_1_0_0,2,cop_p2,2.27,2.2,0.06999999999999984
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DV3 / EBVZ16S23D(6V/9W),4_1_0_0,2,cop_p2,3.58,3.51,0.07000000000000028
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVH16S23D(6V/9W) + cooling kit,4_1_0_0,2,cop_p2,3.61,3.51,0.10000000000000009
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVH16S23D(6V/9W) + cooling kit,5_1_0_0,2,cop_p2,2.3,2.2,0.09999999999999964
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVZ16S23D(6V/9W),4_1_0_0,2,cop_p2,3.59,3.51,0.08000000000000007
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVZ16S23D(6V/9W),5_1_0_0,2,cop_p2,2.28,2.2,0.07999999999999963
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVZ16S23D(6V/9W) + cooling kit,5_1_0_0,2,cop_p2,2.32,2.2,0.11999999999999966
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVZ16S23D(6V/9W) + cooling kit,4_1_0_0,2,cop_p2,3.63,3.51,0.1200000000000001
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F+W 11KW (180L),ERLA11DV3 / EBVZ16S18D(6V/9W),4_1_0_0,2,cop_p2,3.64,3.8,-0.1599999999999997
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DV3 / EBVH16S23D(6V/9W) + cooling kit,4_1_0_0,2,cop_p2,3.6,3.51,0.0900000000000003
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DV3 / EBVH16S23D(6V/9W) + cooling kit,5_1_0_0,2,cop_p2,2.29,2.2,0.08999999999999986
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DV3 / EBVZ16S23D(6V/9W) + cooling kit,5_1_0_0,2,cop_p2,2.31,2.2,0.10999999999999988
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DV3 / EBVZ16S23D(6V/9W) + cooling kit,4_1_0_0,2,cop_p2,3.62,3.51,0.11000000000000032
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVX16S23D(6V/9W),5_1_0_0,2,cop_p2,2.26,2.2,0.05999999999999961
DAIKIN Europe N.V.,DAIKIN ALTHERMA 3 R F 14KW (230L),ERLA14DW1 / EBVX16S23D(6V/9W),4_1_0_0,2,cop_p2,3.57,3.51,0.06000000000000005
ait-deutschland GmbH,LWV 82 Inverter,NOVELAN LICV 8.2R1/3,4_1_0_0,2,cop_p2,4.28,4.15,0.1299999999999999
ait-deutschland GmbH,LWV 82 Inverter,NOVELAN LAV 8.2R1/3,4_1_0_0,2,cop_p2,4.28,4.15,0.1299999999999999
