dimension,total_orig,total_clean,avg_abs_delta_orig,avg_abs_delta_clean,within_1_orig,within_1_clean,within_2_orig,within_2_clean,within_3_orig,within_3_clean,within_5_orig,within_5_clean,within_10_orig,within_10_clean
4_1_0_0,814,785,5.05949015382134,5.041579774500822,11.179361179361178,11.0828025477707,21.4987714987715,20.636942675159236,33.53808353808354,32.86624203821656,57.86240786240786,57.324840764331206,88.94348894348894,89.55414012738854
4_2_0_0,698,665,2.2129801313277735,2.066340771000378,44.269340974212035,45.86466165413533,72.34957020057307,75.18796992481202,77.07736389684814,80.15037593984962,86.53295128939828,88.42105263157895,97.99426934097421,97.89473684210527
4_3_0_0,2197,2170,2.1714075835458777,2.157341004046985,33.95539371870733,33.73271889400922,60.76467910787437,60.87557603686636,76.1948111060537,76.45161290322581,91.44287664997725,91.6589861751152,98.72553482020938,98.80184331797236
5_1_0_0,807,787,4.2222340247505405,4.052893761216715,15.36555142503098,15.501905972045742,30.235439900867412,30.749682337992372,46.71623296158612,47.01397712833545,61.21437422552665,61.88055908513341,95.53903345724906,97.07750952986022
5_2_0_0,691,690,1.8389886190436797,1.8307666656211792,50.50651230101303,50.57971014492754,73.51664254703329,73.62318840579711,85.383502170767,85.5072463768116,93.63241678726484,93.76811594202898,97.39507959479016,97.3913043478261
5_3_0_0,2168,2130,1.8653351358076715,1.8440409996894254,44.32656826568266,44.460093896713616,66.65129151291514,67.13615023474179,79.61254612546126,80.14084507042254,94.74169741697416,94.74178403755869,99.03136531365314,99.06103286384976
6_1_0_0,2,2,4.957573808144338,4.957573808144338,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0
6_2_0_0,2,2,1.5324708767660697,1.5324708767660695,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6_3_0_0,2,2,3.59691623824252,3.59691623824252,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0
