dimension,total,mean_delta,median_delta,pct_within_2,pct_within_5
4_1_0_0,893,-4.6446669743154505,-3.82959733189668,24.412094064949606,58.23068309070548
4_2_0_0,820,-1.273970584467605,-0.9134598497134727,69.14634146341463,83.04878048780488
4_3_0_0,2349,-1.9398244400790619,-1.437165964733567,60.28097062579821,89.86802894848871
5_1_0_0,885,-4.0020617378789165,-3.0875725531874285,32.429378531073446,61.35593220338983
5_2_0_0,814,-1.3482081829851993,-0.8402733544070029,70.14742014742015,88.20638820638821
5_3_0_0,2320,-1.622159890182881,-1.101416671914531,65.99137931034483,92.93103448275862
6_1_0_0,2,-4.957573808144338,-4.957573808144338,0.0,100.0
6_2_0_0,2,-1.5324708767660695,-1.5324708767660695,100.0,100.0
6_3_0_0,2,-3.59691623824252,-3.59691623824252,0.0,100.0
